"","GDP","perCapita","CO2"
"UnitedStates",8083000,29647,6750
"Japan",3080000,24409,1320
"Germany",1740000,21197,1740
"France",1320000,22381,550
"UnitedKingdom",1242000,21010,675
"Italy",1240000,21856,540
"Russia",692000,4727,2000
"Canada",658000,21221,700
"Spain",642400,16401,370
"Australia",394000,20976,480
"Netherlands",343900,21755,240
"Poland",280700,7270,400
"Belgium",236300,23208,145
"Sweden",176200,19773,75
"Austria",174100,21390,80
"Switzerland",172400,23696,54
"Portugal",149500,15074,75
"Greece",137400,12833,125
"Ukraine",124900,2507,420
"Denmark",122500,22868,75
"Norway",120500,27149,56
"Romania",114200,5136,160
"CzechRepublic",111900,10885,150
"Finland",102100,19793,76
"Hungary",73200,7186,85
"Ireland",59900,16488,63
